Time,Vin,RawSignal,Event
Verified data,Verified data,For Reference Only,For Reference Only
0.002,322.795623779,251.059997559,33611445543370752
0.004,-1848.313354492,-1493.352050781,0
0.006,6439.764648438,5284.718261719,0
0.008,-14704.725585938,-12335.217773438,0
0.010,25013.298828125,21297.462890625,0
0.012,-28146.044921875,-24781.142578125,0
0.014,11576.458007813,11620.907226563,0
0.016,-9562.659179688,-7402.955566406,0
0.018,-1280.780151367,683.598144531,0
0.020,-3443.954101563,-1150.766357422,0
0.022,-3117.975830078,-641.493469238,0
0.024,-3114.125976563,-495.938507080,0
0.026,-3110.152099609,-382.634155273,0
0.028,-3111.495117188,-298.645141602,0
0.030,-3117.283203125,-236.778350830,0
0.032,-3121.137939453,-187.156585693,0
0.034,-3121.418457031,-145.782440186,0
0.036,-3114.552978516,-108.045104980,0
0.038,-3103.949951172,-75.787376404,0
0.040,-3099.304931641,-55.332180023,0
0.042,-3106.003417969,-48.245471954,0
0.044,-3110.815429688,-41.266487122,0
0.046,-3109.619140625,-31.165197372,0
0.048,-3113.934570313,-27.595636368,0
0.050,-3115.083007813,-22.356306076,0
0.052,-3109.485595703,-13.034552574,0
0.054,-3099.110107422,-2.068014383,0
0.056,-3102.017822266,-3.870087624,0
0.058,-3105.818359375,-5.966010094,0
0.060,-3101.805175781,-1.518749595,0
0.062,-3110.563720703,-7.993356705,0
0.064,-3117.459228516,-11.580039978,0
0.066,-3109.925781250,-3.147403240,0
0.068,-3110.039306641,-2.536231995,0
0.070,-3105.605712891,1.475707889,0
0.072,-3105.119873047,1.525624871,0
0.074,-3111.120117188,-3.480102301,0
0.076,-3106.812255859,0.643788218,0
0.078,-3103.903076172,2.763362885,0
0.080,-3105.017822266,1.282184958,0
0.082,-3101.348876953,3.850882769,0
0.084,-3094.199462891,8.555608749,0
0.086,-3091.293945313,8.914185524,0
0.088,-3098.238769531,1.531715989,0
0.090,-3100.092529297,-0.250437677,0
0.092,-3097.357177734,1.932655215,0
0.094,-3097.316894531,1.534442544,0
0.096,-3096.611328125,1.742243171,0
0.098,-3099.205078125,-0.662312090,0
0.100,-3098.581787109,-0.030453809,0
0.102,-3098.169677734,0.296951503,0
0.104,-3101.091552734,-2.041569233,0
0.106,-3103.668945313,-3.592607975,0
0.108,-3101.405029297,-1.033368945,0
0.110,-3095.918212891,3.463755608,0
0.112,-3102.216064453,-2.204188585,0
0.114,-3101.021728516,-0.785390377,0
0.116,-3096.602539063,2.826198816,0
0.118,-3106.178710938,-5.249903679,0
0.120,-3107.197998047,-4.876091957,0
0.122,-3105.349365234,-2.354669333,0
0.124,-3102.271972656,0.562137485,0
0.126,-3101.822753906,0.786681592,0
0.128,-3102.760742188,-0.117768325,0
0.130,-3096.895263672,4.470495224,0
0.132,-3104.150146484,-2.165732145,0
0.134,-3107.195556641,-4.053040504,0
0.136,-3101.170654297,1.533799052,0
0.138,-3104.338378906,-1.270934582,0
0.140,-3097.972656250,3.962567568,0
0.142,-3087.643554688,11.115653992,0
0.144,-3096.493652344,1.762035370,0
0.146,-3107.142822266,-6.912103176,0
0.148,-3106.351074219,-4.760244846,0
0.150,-3106.297119141,-3.660361290,0
0.152,-3108.998046875,-4.947606564,0
0.154,-3113.873535156,-7.640048504,0
0.156,-3113.119384766,-5.355724335,0
0.158,-3111.264892578,-2.723094702,0
0.160,-3116.641601563,-6.299752235,0
0.162,-3120.476806641,-7.882741451,0
0.164,-3115.258300781,-2.072156429,0
0.166,-3108.637207031,3.538028479,0
0.168,-3111.517089844,0.511895299,0
0.170,-3112.407714844,-0.294478029,0
0.172,-3108.554687500,2.767734051,0
0.174,-3107.341552734,3.096185446,0
0.176,-3114.472656250,-3.138293266,0
0.178,-3113.197753906,-1.449329376,0
0.180,-3109.874267578,1.457792878,0
0.182,-3118.604736328,-5.656548023,0
0.184,-3128.064208984,-11.756781578,0
0.186,-3127.387695313,-8.617840767,0
0.188,-3118.276855469,0.383443177,0
0.190,-3121.636718750,-2.314914942,0
0.192,-3126.999267578,-5.971259117,0
0.194,-3131.458007813,-8.112195969,0
0.196,-3135.344482422,-9.332201958,0
0.198,-3135.194580078,-7.141544342,0
0.200,-3136.747070313,-6.761988163,0
0.202,-3135.919433594,-4.615548134,0
0.204,-3111.246337891,15.600115776,0
0.206,-3093.985107422,25.558387756,0
0.208,-3092.218017578,21.253011703,0
0.210,-3073.161376953,31.351552963,0
0.212,-3056.672119141,37.208992004,0
0.214,-3055.103515625,30.159835815,0
0.216,-3055.447021484,23.190290451,0
0.218,-3049.741699219,22.473957062,0
0.220,-3043.987548828,21.955089569,0
0.222,-3055.118164063,8.418889046,0
0.224,-3059.943603516,2.794901848,0
0.226,-3051.735351563,8.557759285,0
0.228,-3059.803222656,0.381100237,0
0.230,-3071.198974609,-8.566777229,0
0.232,-3059.662109375,2.309989452,0
0.234,-3051.815917969,7.899127483,0
0.236,-3070.296386719,-8.229769707,0
0.238,-3073.898437500,-9.202544212,0
0.240,-3074.308105469,-7.476035118,0
0.242,-3088.203613281,-16.622055054,0
0.244,-3092.722167969,-16.442564011,0
0.246,-3101.295410156,-19.456455231,0
0.248,-3111.515625000,-23.081485748,0
0.250,-3110.167480469,-16.903484344,0
0.252,-3103.487060547,-7.951155663,0
0.254,-3099.073486328,-2.751403570,0
0.256,-3099.732666016,-2.652634621,0
0.258,-3104.724121094,-5.945343494,0
0.260,-3106.015136719,-5.628178120,0
0.262,-3104.831787109,-3.457036495,0
0.264,-3106.639160156,-4.094669342,0
0.266,-3108.408203125,-4.560427189,0
0.268,-3110.967529297,-5.537616253,0
0.270,-3106.436279297,-0.782687366,0
0.272,-3104.117675781,1.194625616,0
0.274,-3103.984863281,1.032368064,0
0.276,-3097.739013672,5.660707951,0
0.278,-3102.741455078,0.512044132,0
0.280,-3111.280273438,-6.243024349,0
0.282,-3110.905761719,-4.564333439,0
0.284,-3109.333251953,-2.326870918,0
0.286,-3112.211181641,-4.048164845,0
0.288,-3112.918701172,-3.698814631,0
0.290,-3112.741943359,-2.739337683,0
0.292,-3108.090576172,1.487089753,0
0.294,-3111.156250000,-1.227697730,0
0.296,-3107.814941406,1.643875360,0
0.298,-3100.667724609,6.837468147,0
0.300,-3098.996826172,6.617455959,0
0.302,-3095.142578125,8.144555092,0
0.304,-3095.701171875,5.900199413,0
0.306,-3097.934814453,2.851672888,0
0.308,-3097.187500000,2.799243927,0
0.310,-3103.579589844,-2.794402361,0
0.312,-3104.754638672,-3.087404013,0
0.314,-3097.922363281,2.912673473,0
0.316,-3107.481689453,-5.169530392,0
0.318,-3127.178466797,-19.340215683,0
0.320,-3153.043945313,-35.159603119,0
0.322,-3183.406738281,-50.961059570,0
0.324,-3210.987304688,-61.087200165,0
0.326,-3227.461425781,-60.324764252,0
0.328,-3227.042968750,-46.593235016,0
0.330,-3210.722656250,-23.545286179,0
0.332,-3198.390380859,-8.720968246,0
0.334,-3201.825439453,-9.454562187,0
0.336,-3198.119873047,-4.471461773,0
0.338,-3188.396972656,4.084454536,0
0.340,-3180.140380859,9.598347664,0
0.342,-3125.234863281,50.169090271,0
0.344,-2964.081542969,164.359680176,0
0.346,-2752.524658203,292.375854492,0
0.348,-2522.677734375,406.167999268,0
0.350,-2213.094726563,556.687866211,0
0.352,-1872.518676758,697.862976074,0
0.354,-1526.219970703,812.115173340,0
0.356,-1239.831909180,854.380371094,0
0.358,-1157.219482422,728.762695313,0
0.360,-1120.238281250,595.570861816,0
0.362,-1051.627197266,516.579223633,0
0.364,-1181.797485352,300.536407471,0
0.366,-1482.309570313,0.018901620,0
0.368,-1774.736083984,-227.425231934,0
0.370,-1994.706420898,-347.969757080,0
0.372,-2087.534912109,-342.838623047,0
0.374,-2150.725830078,-315.796752930,0
0.376,-2288.898193359,-353.082458496,0
0.378,-2436.996826172,-389.802429199,0
0.380,-2540.290283203,-383.514007568,0
0.382,-2625.473144531,-364.537231445,0
0.384,-2721.596923828,-358.287292480,0
0.386,-2795.366455078,-336.039886475,0
0.388,-2841.091308594,-296.924194336,0
0.390,-2882.432617188,-263.092010498,0
0.392,-2919.867431641,-233.740081787,0
0.394,-2947.430908203,-203.233505249,0
0.396,-2976.297119141,-180.519515991,0
0.398,-2992.139160156,-152.723831177,0
0.400,-2991.396972656,-118.206390381,0
0.402,-2993.796875000,-93.803619385,0
0.404,-2999.631835938,-77.495742798,0
0.406,-3009.331787109,-67.817863464,0
0.408,-3018.564941406,-59.927780151,0
0.410,-3024.793212891,-51.454017639,0
0.412,-3028.225585938,-42.689006805,0
0.414,-3028.496093750,-33.412406921,0
0.416,-3030.820068359,-27.794696808,0
0.418,-3040.038085938,-28.787254333,0
0.420,-3041.438720703,-23.479145050,0
0.422,-3038.959716797,-16.333164215,0
0.424,-3040.406494141,-13.828680038,0
0.426,-3044.962158203,-14.298779488,0
0.428,-3046.045898438,-11.964034081,0
0.430,-3047.985595703,-10.813981056,0
0.432,-3050.704833984,-10.525640488,0
0.434,-3049.149169922,-6.976562500,0
0.436,-3042.807128906,-0.493499637,0
0.438,-3036.658447266,4.398496151,0
0.440,-3037.798339844,2.534405947,0
0.442,-3034.140380859,4.816182613,0
0.444,-3025.685546875,10.321753502,0
0.446,-3027.855712891,6.340123177,0
0.448,-3029.595703125,3.577834368,0
0.450,-3029.765136719,2.650936604,0
0.452,-3031.036621094,1.072829723,0
0.454,-3032.563964844,-0.353598326,0
0.456,-3028.609619141,2.800711155,0
0.458,-3023.331054688,6.283675194,0
0.460,-3023.406494141,4.828533173,0
0.462,-3027.164550781,0.832670987,0
0.464,-3020.401855469,5.907502174,0
0.466,-3016.541503906,7.596984386,0
0.468,-3011.697509766,9.676179886,0
0.470,-3004.486083984,13.134736061,0
0.472,-2996.343994141,16.548353195,0
0.474,-2996.797119141,12.518327713,0
0.476,-2999.537109375,7.605344296,0
0.478,-2997.205322266,7.728816032,0
0.480,-2996.417236328,6.624115467,0
0.482,-2992.745605469,8.007799149,0
0.484,-2988.311523438,9.676808357,0
0.486,-2984.374267578,10.588624954,0
0.488,-2978.877197266,12.510867119,0
0.490,-2976.106689453,11.885382652,0
0.492,-2978.654785156,7.262203217,0
0.494,-2979.305664063,5.142142296,0
0.496,-2973.950195313,8.164637566,0
0.498,-2966.085693359,12.466884613,0
0.500,-2965.267822266,10.332506180,0
0.502,-2962.197509766,10.424238205,0
0.504,-2958.064208984,11.322369576,0
0.506,-2958.046386719,8.820173264,0
0.508,-2950.020996094,13.101953506,0
0.510,-2935.858642578,21.205184937,0
0.512,-2935.174072266,17.025285721,0
0.514,-2939.515136719,9.865371704,0
0.516,-2931.979003906,13.534242630,0
0.518,-2933.187988281,9.586098671,0
0.520,-2931.388183594,8.855719566,0
0.522,-2921.652832031,14.459481239,0
0.524,-2916.136474609,15.536495209,0
0.526,-2912.756835938,14.712385178,0
0.528,-2914.933349609,9.750099182,0
0.530,-2914.120605469,8.215303421,0
0.532,-2907.539306641,11.508410454,0
0.534,-2904.602050781,11.235291481,0
0.536,-2903.408691406,9.666670799,0
0.538,-2891.594726563,16.706916809,0
0.540,-2882.922851563,19.738826752,0
0.542,-2885.852294922,13.073727608,0
0.544,-2882.332275391,12.906108856,0
0.546,-2877.901123047,13.484479904,0
0.548,-2876.430908203,11.631254196,0
0.550,-2863.766845703,18.895978928,0
0.552,-2853.478759766,22.698446274,0
0.554,-2853.675292969,17.501337051,0
0.556,-2852.210693359,14.750992775,0
0.558,-2847.964599609,14.775359154,0
0.560,-2844.975585938,13.816538811,0
0.562,-2835.016113281,18.492296219,0
0.564,-2828.176513672,19.702251434,0
0.566,-2825.067871094,17.741588593,0
0.568,-2820.456542969,17.385417938,0
0.570,-2821.880859375,12.414083481,0
0.572,-2820.002929688,11.115766525,0
0.574,-2816.242431641,11.570388794,0
0.576,-2813.097167969,11.445379257,0
0.578,-2799.183593750,19.723287582,0
0.580,-2791.393066406,21.399276733,0
0.582,-2787.518554688,19.657142639,0
0.584,-2778.061279297,22.644254684,0
0.586,-2772.380859375,22.030061722,0
0.588,-2766.893554688,21.402065277,0
0.590,-2763.794189453,19.056486130,0
0.592,-2768.254638672,11.352426529,0
0.594,-2768.285400391,8.805509567,0
0.596,-2767.685058594,7.315585136,0
0.598,-2772.242431641,2.145215988,0
0.600,-2775.790283203,-1.090815306,0
0.602,-2774.749755859,-0.039181132,0
0.604,-2777.394287109,-2.087294102,0
0.606,-2785.466796875,-7.902004242,0
0.608,-2793.023681641,-12.023323059,0
0.610,-2808.449951172,-21.349405289,0
0.612,-2825.603027344,-29.946113586,0
0.614,-2844.947753906,-38.336837769,0
0.616,-2864.995361328,-45.409423828,0
0.618,-2877.066406250,-44.706565857,0
0.620,-2885.949218750,-41.679939270,0
0.622,-2904.843750000,-47.112926483,0
0.624,-2927.560058594,-54.310935974,0
0.626,-2943.324951172,-54.502727509,0
0.628,-2962.885253906,-57.603832245,0
0.630,-2975.726074219,-54.789581299,0
0.632,-2982.212158203,-47.658298492,0
0.634,-2994.271728516,-46.446609497,0
0.636,-3005.822753906,-45.108547211,0
0.638,-3013.247070313,-40.858421326,0
0.640,-3021.789062500,-38.422073364,0
0.642,-3030.331542969,-36.527454376,0
0.644,-3034.721679688,-31.824470520,0
0.646,-3041.604736328,-30.105396271,0
0.648,-3046.717773438,-27.391767502,0
0.650,-3047.317382813,-21.770828247,0
0.652,-3054.127929688,-22.229639053,0
0.654,-3057.778076172,-20.128507614,0
0.656,-3066.439208984,-22.391653061,0
0.658,-3076.821044922,-25.490047455,0
0.660,-3073.589843750,-17.312292099,0
0.662,-3071.967285156,-12.202861786,0
0.664,-3072.580810547,-9.968303680,0
0.666,-3067.626953125,-3.900089979,0
0.668,-3065.276611328,-1.205201745,0
0.670,-3068.323974609,-3.307508230,0
0.672,-3071.324462891,-4.906217098,0
0.674,-3063.182617188,2.516604185,0
0.676,-3064.226074219,1.145691872,0
0.678,-3078.561035156,-10.258098602,0
0.680,-3067.406005859,0.697475970,0
0.682,-3058.159423828,7.734279156,0
0.684,-3074.245117188,-6.495596409,0
0.686,-3073.659423828,-4.596377373,0
0.688,-3071.336914063,-1.768525720,0
0.690,-3081.382568359,-9.188803673,0
0.692,-3074.688476563,-1.940369964,0
0.694,-3068.465332031,3.331156015,0
0.696,-3075.034667969,-2.518621445,0
0.698,-3077.177978516,-3.625896454,0
0.700,-3074.201904297,-0.505461633,0
0.702,-3074.710449219,-0.788657188,0
0.704,-3072.664550781,0.977964044,0
0.706,-3068.195068359,4.236696720,0
0.708,-3070.160644531,1.766531825,0
0.710,-3071.997314453,-0.054639932,0
0.712,-3076.074951172,-3.213982105,0
0.714,-3078.959228516,-4.743012905,0
0.716,-3075.580078125,-1.060653210,0
0.718,-3074.603027344,-0.065156534,0
0.720,-3075.203125000,-0.517261267,0
0.722,-3065.027343750,7.511915207,0
0.724,-3062.218261719,8.027369499,0
0.726,-3071.807128906,-1.214471936,0
0.728,-3072.497070313,-1.481068015,0
0.730,-3066.287353516,3.677701950,0
0.732,-3068.854003906,0.864170492,0
0.734,-3069.736572266,-0.014379881,0
0.736,-3070.531738281,-0.629662573,0
0.738,-3062.653076172,5.638190269,0
0.740,-3056.792480469,8.943367958,0
0.742,-3056.050292969,7.533090115,0
0.744,-3051.566894531,9.345912933,0
0.746,-3047.182128906,10.679414749,0
0.748,-3044.314208984,10.536688805,0
0.750,-3046.787109375,6.271663189,0
0.752,-3047.584960938,4.257296562,0
0.754,-3045.378417969,5.027438164,0
0.756,-3048.310058594,1.630019188,0
0.758,-3039.262939453,8.304413795,0
0.760,-3030.921142578,12.946837425,0
0.762,-3040.498046875,2.621068954,0
0.764,-3039.621826172,2.719986677,0
0.766,-3034.166503906,6.358527184,0
0.768,-3036.166748047,3.389774084,0
0.770,-3036.939697266,2.035232306,0
0.772,-3036.510253906,1.916980028,0
0.774,-3034.997802734,2.667205811,0
0.776,-3034.684082031,2.318600178,0
0.778,-3027.603759766,7.310160160,0
0.780,-3032.861572266,1.596299291,0
0.782,-3036.203369141,-1.357740402,0
0.784,-3031.051025391,2.951396942,0
0.786,-3039.719482422,-4.446479797,0
0.788,-3034.441162109,0.646958351,0
0.790,-3022.943603516,9.445647240,0
0.792,-3030.209960938,1.694917083,0
0.794,-3026.420166016,4.265715599,0
0.796,-3023.612792969,5.501389503,0
0.798,-3030.737792969,-1.262924433,0
0.800,-3031.431640625,-1.521788120,0
0.802,-3025.789550781,3.204653502,0
0.804,-3033.485107422,-3.492930174,0
0.806,-3040.112060547,-7.870927811,0
0.808,-3038.617919922,-4.959630013,0
0.810,-3035.483886719,-1.419876218,0
0.812,-3034.218505859,-0.120261401,0
0.814,-3036.404296875,-1.793494225,0
0.816,-3040.824951172,-4.833220482,0
0.818,-3042.335693359,-4.934098244,0
0.820,-3038.615722656,-0.944285750,0
0.822,-3039.102050781,-1.112822056,0
0.824,-3039.442626953,-1.130395532,0
0.826,-3041.069580078,-2.144556284,0
0.828,-3042.691406250,-2.929332495,0
0.830,-3044.997558594,-4.071955681,0
0.832,-3041.532226563,-0.471741647,0
0.834,-3040.323242188,0.573394954,0
0.836,-3041.875000000,-0.761068940,0
0.838,-3032.380859375,6.792371273,0
0.840,-3026.688720703,9.709973335,0
0.842,-3028.567871094,6.090572834,0
0.844,-3030.635253906,3.129184484,0
0.846,-3039.079589844,-4.134001732,0
0.848,-3046.518554688,-9.001018524,0
0.850,-3047.773681641,-7.977014065,0
0.852,-3044.999267578,-4.046352863,0
0.854,-3049.118164063,-6.350721359,0
0.856,-3049.821289063,-5.486104965,0
0.858,-3051.939697266,-5.914624691,0
0.860,-3051.337890625,-4.132126331,0
0.862,-3048.546386719,-1.042774916,0
0.864,-3044.570312500,2.281399965,0
0.866,-3046.940673828,-0.069161117,0
0.868,-3056.356445313,-7.377022266,0
0.870,-3052.345458984,-2.617961645,0
0.872,-3050.113281250,-0.300143182,0
0.874,-3055.651367188,-4.540681362,0
0.876,-3050.747558594,0.282477021,0
0.878,-3028.493652344,17.527980804,0
0.880,-3006.572265625,30.682472229,0
0.882,-2993.380859375,34.123622894,0
0.884,-2979.410644531,37.405853271,0
0.886,-2974.522216797,32.895153046,0
0.888,-2973.541015625,26.347919464,0
0.890,-2973.687255859,20.378820419,0
0.892,-2978.433105469,12.158740997,0
0.894,-2977.492675781,10.188127518,0
0.896,-2978.501953125,7.139137268,0
0.898,-2976.077636719,7.438128471,0
0.900,-2973.609375000,7.704880238,0
0.902,-2976.299560547,3.900243759,0
0.904,-2976.398437500,2.956594467,0
0.906,-2977.713867188,1.276455998,0
0.908,-2980.829833984,-1.430684328,0
0.910,-2972.169433594,5.622898579,0
0.912,-2969.066894531,6.786341190,0
0.914,-2975.298095703,0.431793928,0
0.916,-2980.395751953,-3.628824234,0
0.918,-2995.532470703,-14.595214844,0
0.920,-3004.582519531,-18.390581131,0
0.922,-3007.384765625,-16.483089447,0
0.924,-3020.178466797,-22.770641327,0
0.926,-3025.674560547,-21.984832764,0
0.928,-3021.161376953,-13.589005470,0
0.930,-3024.850341797,-13.438138008,0
0.932,-3023.441894531,-9.356264114,0
0.934,-3022.013671875,-6.166195869,0
0.936,-3029.414550781,-10.552013397,0
0.938,-3038.496093750,-15.270428658,0
0.940,-3030.787841797,-5.881694317,0
0.942,-3022.951171875,1.520548940,0
0.944,-3026.689208984,-1.724551916,0
0.946,-3031.976806641,-5.453978062,0
0.948,-3039.525878906,-10.113265038,0
0.950,-3039.821044922,-8.095373154,0
0.952,-3036.387451172,-3.625799656,0
0.954,-3038.781005859,-4.681698799,0
0.956,-3042.972656250,-6.901266098,0
