Time,Vin,RawSignal,Event
Verified data,Verified data,For Reference Only,For Reference Only
0.002,183.647537231,142.835113525,0
0.004,-1051.746826172,-849.757263184,0
0.006,3664.702148438,3007.387939453,0
0.008,-8369.059570313,-7020.422363281,0
0.010,14237.507812500,12122.400390625,0
0.012,-16024.452148438,-14108.363281250,0
0.014,6598.502441406,6622.374023438,0
0.016,-5445.383789063,-4216.677246094,0
0.018,-718.505187988,396.818389893,0
0.020,-1952.493896484,-651.124023438,0
0.022,-1771.019042969,-365.277954102,0
0.024,-1768.539794922,-282.173126221,0
0.026,-1766.421630859,-217.817687988,0
0.028,-1774.463623047,-175.666320801,0
0.030,-1778.324096680,-139.630126953,0
0.032,-1777.836181641,-108.220367432,0
0.034,-1781.676025391,-87.156768799,0
0.036,-1784.264160156,-69.800712585,0
0.038,-1786.971557617,-56.394477844,0
0.040,-1789.862304688,-46.110141754,0
0.042,-1789.254272461,-35.390041351,0
0.044,-1790.187133789,-28.250766754,0
0.046,-1790.877929688,-22.509834290,0
0.048,-1789.135253906,-16.152023315,0
0.050,-1786.176269531,-10.261054993,0
0.052,-1789.425292969,-10.507759094,0
0.054,-1786.751342773,-6.092871666,0
0.056,-1787.534179688,-5.347735882,0
0.058,-1786.807006836,-3.593733788,0
0.060,-1783.260253906,-0.036457520,0
0.062,-1791.443969727,-6.393462181,0
0.064,-1788.785522461,-2.904920340,0
0.066,-1782.100341797,2.940174103,0
0.068,-1784.575927734,0.361295670,0
0.070,-1780.419433594,3.513772964,0
0.072,-1779.643554688,3.336419344,0
0.074,-1781.798217773,0.919124782,0
0.076,-1781.201416016,1.178973436,0
0.078,-1782.477172852,-0.075197965,0
0.080,-1782.124877930,0.215493083,0
0.082,-1777.919067383,3.438723564,0
0.084,-1781.446533203,-0.069026604,0
0.086,-1780.388671875,0.769129157,0
0.088,-1777.257324219,3.033657312,0
0.090,-1776.208129883,3.175477266,0
0.092,-1775.539794922,2.989596605,0
0.094,-1775.095458984,2.670825481,0
0.096,-1773.124023438,3.610610962,0
0.098,-1775.104003906,1.268237948,0
0.100,-1774.509033203,1.449164629,0
0.102,-1775.810668945,0.114746407,0
0.104,-1775.596191406,0.255987853,0
0.106,-1772.807617188,2.367980480,0
0.108,-1768.673950195,5.056812763,0
0.110,-1763.910766602,7.637610435,0
0.112,-1763.196289063,6.496056080,0
0.114,-1765.448974609,3.300302267,0
0.116,-1765.130126953,2.814866543,0
0.118,-1766.014770508,1.501277566,0
0.120,-1763.420532227,3.185402393,0
0.122,-1768.023925781,-1.102916479,0
0.124,-1766.468383789,0.352078021,0
0.126,-1758.790527344,6.245383739,0
0.128,-1761.806030273,2.512107134,0
0.130,-1764.879516602,-0.436582148,0
0.132,-1759.300170898,3.999861240,0
0.134,-1759.922485352,2.626884937,0
0.136,-1762.855346680,-0.237981781,0
0.138,-1761.450439453,0.907619715,0
0.140,-1759.616699219,2.132150412,0
0.142,-1758.666992188,2.397007704,0
0.144,-1762.306518555,-0.966403484,0
0.146,-1763.328125000,-1.546241999,0
0.148,-1761.309448242,0.367497057,0
0.150,-1762.420898438,-0.578626633,0
0.152,-1758.078247070,2.927531719,0
0.154,-1757.896972656,2.417856693,0
0.156,-1757.746093750,1.997967601,0
0.158,-1751.014404297,6.789561272,0
0.160,-1754.806152344,2.331603527,0
0.162,-1755.726440430,1.097675562,0
0.164,-1748.744995117,6.283734322,0
0.166,-1751.166625977,3.003799200,0
0.168,-1750.251831055,3.047720194,0
0.170,-1747.388427734,4.597508907,0
0.172,-1750.010009766,1.536869645,0
0.174,-1749.307495117,1.741645575,0
0.176,-1741.967407227,7.063529015,0
0.178,-1737.434082031,9.019632339,0
0.180,-1742.276000977,3.249297857,0
0.182,-1738.815795898,5.218430042,0
0.184,-1737.952270508,4.730393410,0
0.186,-1741.279418945,1.091327906,0
0.188,-1738.343627930,3.132155657,0
0.190,-1741.205688477,0.210132435,0
0.192,-1743.606445313,-1.703833103,0
0.194,-1738.800659180,2.412586451,0
0.196,-1740.364501953,0.660121441,0
0.198,-1741.372070313,-0.270192206,0
0.200,-1741.412109375,-0.241335511,0
0.202,-1741.710571289,-0.419779241,0
0.204,-1739.120849609,1.687640548,0
0.206,-1736.573608398,3.293829918,0
0.208,-1732.432250977,5.782842636,0
0.210,-1734.131835938,3.175828695,0
0.212,-1737.655395508,-0.270512342,0
0.214,-1731.134399414,4.861497402,0
0.216,-1731.207641602,3.724129677,0
0.218,-1738.769042969,-2.984570503,0
0.220,-1737.010253906,-0.953356802,0
0.222,-1738.047607422,-1.548261762,0
0.224,-1734.343750000,1.676494837,0
0.226,-1729.529663086,5.048200130,0
0.228,-1735.760864258,-0.920059681,0
0.230,-1739.374389648,-3.526080847,0
0.232,-1735.411132813,0.339964747,0
0.234,-1737.829711914,-1.616698861,0
0.236,-1740.184814453,-3.089137316,0
0.238,-1741.039550781,-3.067398310,0
0.240,-1743.721191406,-4.471373081,0
0.242,-1746.263183594,-5.454823971,0
0.244,-1745.578613281,-3.710127831,0
0.246,-1744.694702148,-2.198154926,0
0.248,-1744.962890625,-1.918220758,0
0.250,-1744.851074219,-1.404921532,0
0.252,-1746.009643555,-1.993797064,0
0.254,-1746.486328125,-1.921509743,0
0.256,-1747.754882813,-2.481146574,0
0.258,-1747.309814453,-1.583527684,0
0.260,-1752.275878906,-5.094072819,0
0.262,-1766.427490234,-14.968688011,0
0.264,-1766.511108398,-11.707186699,0
0.266,-1763.732055664,-6.944027424,0
0.268,-1758.506103516,-1.336260438,0
0.270,-1738.098632813,14.832995415,0
0.272,-1722.559692383,23.622224808,0
0.274,-1710.461059570,27.782608032,0
0.276,-1699.307250977,30.283452988,0
0.278,-1694.319458008,27.432819366,0
0.280,-1690.204711914,24.536733627,0
0.282,-1688.944091797,20.064294815,0
0.284,-1689.890625000,14.869229317,0
0.286,-1695.551757813,7.161752701,0
0.288,-1696.316650391,4.975248337,0
0.290,-1693.268310547,6.240506649,0
0.292,-1695.198730469,3.352204561,0
0.294,-1688.730590820,7.637925148,0
0.296,-1677.050659180,15.024871826,0
0.298,-1678.530639648,10.534775734,0
0.300,-1679.955566406,7.085326672,0
0.302,-1674.909057617,9.435723305,0
0.304,-1683.425537109,0.715004563,0
0.306,-1692.624145508,-6.598276138,0
0.308,-1696.656250000,-8.267948151,0
0.310,-1707.002929688,-14.477918625,0
0.312,-1712.510131836,-15.543717384,0
0.314,-1710.006591797,-10.142307281,0
0.316,-1712.162231445,-9.564922333,0
0.318,-1714.562377930,-9.305993080,0
0.320,-1712.061767578,-5.293066978,0
0.322,-1712.552734375,-4.498640060,0
0.324,-1713.217285156,-4.015746117,0
0.326,-1708.375366211,0.642569423,0
0.328,-1707.397705078,1.260168791,0
0.330,-1711.775024414,-2.424436092,0
0.332,-1709.350585938,0.000014969,0
0.334,-1707.107666016,1.744516850,0
0.336,-1710.669555664,-1.413478494,0
0.338,-1713.402465820,-3.224968433,0
0.340,-1715.716064453,-4.307720661,0
0.342,-1712.135864258,-0.565867543,0
