Time,Vin,RawSignal,Event
Verified data,Verified data,For Reference Only,For Reference Only
0.002,463.931213379,360.830718994,0
0.004,-2655.924072266,-2145.880126953,0
0.006,9252.778320313,7593.208007813,0
0.008,-21125.476562500,-17721.474609375,0
0.010,35932.386718750,30594.572265625,0
0.012,-40425.890625000,-35593.531250000,0
0.014,16616.685546875,16682.375000000,0
0.016,-13751.881835938,-10644.677734375,0
0.018,-1844.933105469,981.753112793,0
0.020,-4968.757812500,-1666.033935547,0
0.022,-4501.404296875,-932.295043945,0
0.024,-4488.593750000,-715.145385742,0
0.026,-4485.116210938,-553.512268066,0
0.028,-4487.844726563,-432.625885010,0
0.030,-4492.174804688,-339.850433350,0
0.032,-4495.759277344,-267.112335205,0
0.034,-4493.508789063,-206.001037598,0
0.036,-4491.160156250,-158.394165039,0
0.038,-4491.587402344,-123.526084900,0
0.040,-4483.272949219,-89.607902527,0
0.042,-4476.884277344,-64.725257874,0
0.044,-4483.827148438,-55.741226196,0
0.046,-4482.947753906,-42.669692993,0
0.048,-4475.236816406,-27.189836502,0
0.050,-4482.111328125,-26.494388580,0
0.052,-4486.615234375,-24.109155655,0
0.054,-4491.542480469,-22.583713531,0
0.056,-4493.173828125,-18.833593369,0
0.058,-4482.514648438,-6.357755661,0
0.060,-4483.891113281,-6.015644073,0
0.062,-4482.594238281,-3.670222044,0
0.064,-4481.323242188,-1.865955472,0
0.066,-4483.962890625,-3.504129410,0
0.068,-4480.171386719,0.223522082,0
0.070,-4474.966796875,4.221554756,0
0.072,-4467.948730469,8.741901398,0
0.074,-4467.440917969,7.194161892,0
0.076,-4464.971679688,7.515748978,0
0.078,-4455.680175781,13.072192192,0
0.080,-4462.170898438,5.118873596,0
0.082,-4466.243164063,0.814193726,0
0.084,-4458.101074219,6.965698242,0
0.086,-4464.979003906,0.068347454,0
0.088,-4475.622558594,-8.224838257,0
0.090,-4479.871093750,-9.701555252,0
0.092,-4479.030761719,-6.891953468,0
0.094,-4473.449218750,-1.019176602,0
0.096,-4471.514648438,0.711928725,0
0.098,-4480.848144531,-6.705641270,0
0.100,-4469.723632813,3.436779261,0
0.102,-4446.981933594,20.361022949,0
0.104,-4453.096191406,11.080668449,0
0.106,-4470.007324219,-4.534741402,0
0.108,-4473.578125000,-6.304178238,0
0.110,-4462.136718750,3.995572805,0
0.112,-4457.480468750,6.728817463,0
0.114,-4464.877929688,-0.520051599,0
0.116,-4460.081542969,3.326238155,0
0.118,-4458.605957031,3.734690905,0
0.120,-4457.518554688,3.750224590,0
0.122,-4444.483886719,13.054809570,0
0.124,-4441.873046875,12.184244156,0
0.126,-4441.378417969,9.861379623,0
0.128,-4440.346191406,8.472590446,0
0.130,-4443.085937500,4.458994389,0
0.132,-4441.879394531,4.406432152,0
0.134,-4438.196777344,6.291390419,0
0.136,-4436.794433594,5.983826637,0
0.138,-4432.026855469,8.362174988,0
0.140,-4429.633789063,8.364900589,0
0.142,-4429.528808594,6.587767124,0
0.144,-4432.552246094,2.771944046,0
0.146,-4427.540039063,6.054293156,0
0.148,-4422.626953125,8.530379295,0
0.150,-4423.418945313,6.018564224,0
0.152,-4416.119628906,10.358159065,0
0.154,-4407.739257813,14.574136734,0
0.156,-4405.290039063,13.240212440,0
0.158,-4408.246582031,7.998503208,0
0.160,-4404.371093750,9.235012054,0
0.162,-4407.022460938,5.120562553,0
0.164,-4407.842773438,3.344527721,0
0.166,-4391.029296875,15.678355217,0
0.168,-4382.414062500,18.894842148,0
0.170,-4376.543457031,19.261743546,0
0.172,-4362.478027344,25.920686722,0
0.174,-4356.869628906,24.522483826,0
0.176,-4352.540039063,22.439985275,0
0.178,-4347.616699219,21.282463074,0
0.180,-4353.347656250,12.095424652,0
0.182,-4361.068359375,3.402361631,0
0.184,-4385.713867188,-16.522006989,0
0.186,-4402.667480469,-26.036392212,0
0.188,-4392.205566406,-12.113421440,0
0.190,-4390.667968750,-8.225278854,0
0.192,-4410.898437500,-22.131881714,0
0.194,-4425.607421875,-28.653739929,0
0.196,-4429.895996094,-25.621473312,0
0.198,-4427.553222656,-18.105461121,0
0.200,-4434.556640625,-19.528980255,0
0.202,-4445.021972656,-23.328327179,0
0.204,-4456.525390625,-27.091115952,0
0.206,-4470.189453125,-31.698156357,0
0.208,-4475.839355469,-29.047916412,0
0.210,-4483.008789063,-28.168691635,0
0.212,-4482.432617188,-21.460756302,0
0.214,-4482.215820313,-16.522953033,0
0.216,-4499.909179688,-26.612043381,0
0.218,-4510.453125000,-28.898815155,0
0.220,-4511.558593750,-23.336322784,0
0.222,-4522.551269531,-26.700010300,0
0.224,-4529.983398438,-26.546815872,0
0.226,-4519.449218750,-12.454122543,0
0.228,-4518.912597656,-9.269354820,0
0.230,-4518.161132813,-6.624708176,0
0.232,-4512.907714844,-1.066593170,0
0.234,-4518.163085938,-4.916906834,0
0.236,-4517.121582031,-3.014155865,0
0.238,-4514.929687500,-0.639552116,0
0.240,-4516.541503906,-1.751049995,0
0.242,-4516.150390625,-1.057921052,0
0.244,-4519.635742188,-3.533506393,0
0.246,-4519.052246094,-2.294398546,0
0.248,-4521.477050781,-3.670592785,0
0.250,-4518.716796875,-0.707919836,0
0.252,-4513.629394531,3.406079531,0
0.254,-4524.309570313,-5.657326698,0
0.256,-4518.497070313,0.120751239,0
0.258,-4509.443847656,7.135192871,0
0.260,-4517.401855469,-0.640094995,0
0.262,-4519.030273438,-1.764185786,0
0.264,-4513.637207031,2.822330475,0
0.266,-4511.239257813,4.060012341,0
0.268,-4508.153320313,5.558114052,0
0.270,-4512.470214844,0.965123832,0
0.272,-4518.872558594,-4.228837967,0
0.274,-4510.793945313,2.994400740,0
0.276,-4508.231445313,4.321784019,0
0.278,-4511.254882813,1.009765267,0
0.280,-4505.582031250,5.197534561,0
0.282,-4506.593261719,3.256005764,0
0.284,-4512.948730469,-2.410478830,0
0.286,-4510.355957031,0.141678169,0
0.288,-4514.875000000,-3.404719114,0
0.290,-4519.338867188,-6.119678020,0
0.292,-4519.082031250,-4.560003281,0
0.294,-4522.848632813,-6.476352692,0
0.296,-4520.805175781,-3.447717667,0
0.298,-4519.081542969,-1.340892911,0
0.300,-4516.676269531,0.827837467,0
0.302,-4507.323242188,7.918433189,0
0.304,-4499.552246094,12.202595711,0
0.306,-4497.035644531,11.448288918,0
0.308,-4500.873535156,5.918924809,0
0.310,-4507.833984375,-0.810004652,0
0.312,-4515.028808594,-6.225744724,0
0.314,-4513.531250000,-3.677397966,0
0.316,-4508.659667969,0.928524077,0
0.318,-4501.656250000,6.169466496,0
0.320,-4499.450683594,6.513682365,0
0.322,-4501.822753906,3.221328735,0
0.324,-4501.820312500,2.507219315,0
0.326,-4501.022460938,2.570606232,0
0.328,-4507.130859375,-2.751691341,0
0.330,-4505.099609375,-0.560335577,0
0.332,-4503.090332031,1.127214193,0
0.334,-4505.141601563,-0.719003856,0
0.336,-4499.334960938,3.957052708,0
0.338,-4506.791992188,-2.721934795,0
0.340,-4515.092285156,-8.573011398,0
0.342,-4507.220703125,-0.545280337,0
0.344,-4509.475585938,-2.177828550,0
0.346,-4511.416992188,-3.203974247,0
0.348,-4503.355468750,3.778052330,0
0.350,-4500.667968750,5.028662682,0
0.352,-4495.823730469,7.678711891,0
0.354,-4497.702148438,4.511598587,0
0.356,-4498.452148438,2.925513506,0
0.358,-4485.983398438,11.972967148,0
0.360,-4485.584472656,9.622571945,0
0.362,-4488.501464844,5.215455532,0
0.364,-4491.749511719,1.530225635,0
0.366,-4506.129882813,-9.994661331,0
0.368,-4516.677734375,-15.977215767,0
0.370,-4521.884277344,-16.475845337,0
0.372,-4515.325683594,-7.713523865,0
0.374,-4511.657226563,-3.146148682,0
0.376,-4506.903320313,1.250674009,0
0.378,-4496.609863281,8.978670120,0
0.380,-4494.826171875,8.370676994,0
0.382,-4489.745117188,10.462295532,0
0.384,-4490.104492188,7.857547283,0
0.386,-4496.594238281,1.063898087,0
0.388,-4503.332031250,-4.413041115,0
0.390,-4503.072265625,-3.230283737,0
0.392,-4498.765625000,0.837082863,0
0.394,-4500.450195313,-0.659176409,0
0.396,-4503.388183594,-2.797691107,0
0.398,-4502.271972656,-1.307548046,0
0.400,-4500.012695313,0.739859164,0
0.402,-4505.650390625,-3.809195280,0
0.404,-4508.696289063,-5.331822395,0
0.406,-4505.318359375,-1.519659758,0
0.408,-4504.969726563,-0.910585403,0
0.410,-4499.368652344,3.647985458,0
0.412,-4491.804199219,8.720894814,0
0.414,-4506.426757813,-4.590173244,0
0.416,-4509.444824219,-5.917451859,0
0.418,-4500.378906250,2.448590279,0
