Time,Vin,RawSignal,Event
Verified data,Verified data,For Reference Only,For Reference Only
0.002,211.504333496,164.501235962,0
0.004,-1210.830810547,-978.302612305,0
0.006,4218.390136719,3461.780517578,0
0.008,-9631.500000000,-8079.536132813,0
0.010,16382.987304688,13949.225585938,0
0.012,-18433.298828125,-16229.724609375,0
0.014,7580.232421875,7609.527832031,0
0.016,-6273.011718750,-4856.160644531,0
0.018,-842.666564941,446.582092285,0
0.020,-2260.076171875,-755.078247070,0
0.022,-2049.056640625,-423.151275635,0
0.024,-2051.084716797,-330.690765381,0
0.026,-2055.165527344,-260.374603271,0
0.028,-2058.307617188,-204.954696655,0
0.030,-2059.526855469,-160.355453491,0
0.032,-2062.024169922,-126.661506653,0
0.034,-2056.931152344,-94.552078247,0
0.036,-2050.467041016,-68.512092590,0
0.038,-2059.074218750,-59.980846405,0
0.040,-2061.442871094,-48.493461609,0
0.042,-2056.118164063,-33.575191498,0
0.044,-2057.907714844,-27.505493164,0
0.046,-2059.136718750,-22.348867416,0
0.048,-2059.826660156,-17.918828964,0
0.050,-2065.916748047,-18.673229218,0
0.052,-2064.372314453,-13.322393417,0
0.054,-2062.913330078,-9.226876259,0
0.056,-2066.805908203,-10.203930855,0
0.058,-2067.553222656,-8.517496109,0
0.060,-2067.991455078,-6.965409756,0
0.062,-2066.080566406,-3.931388855,0
0.064,-2063.595214844,-1.124654889,0
0.066,-2060.129394531,1.820972800,0
0.068,-2060.219726563,1.346072793,0
0.070,-2055.433593750,4.769292831,0
0.072,-2052.270019531,6.169904709,0
0.074,-2057.209716797,0.956907034,0
0.076,-2057.112792969,0.819568336,0
0.078,-2055.307373047,2.041748762,0
0.080,-2061.776367188,-3.443443060,0
0.082,-2064.034912109,-4.434739590,0
0.084,-2060.177001953,-0.448678672,0
0.086,-2063.890869141,-3.237437487,0
0.088,-2064.531250000,-3.016118288,0
0.090,-2062.245117188,-0.567703485,0
0.092,-2068.222167969,-5.090364933,0
0.094,-2062.786132813,0.268812686,0
0.096,-2059.754150391,2.567392111,0
0.098,-2066.303222656,-3.097007513,0
0.100,-2063.711914063,-0.393247008,0
0.102,-2061.428222656,1.470280886,0
0.104,-2063.219726563,-0.249790877,0
0.106,-2060.579833984,1.859053016,0
0.108,-2060.927734375,1.175250173,0
0.110,-2061.944335938,0.123450100,0
0.112,-2062.660400391,-0.460965693,0
0.114,-2064.793945313,-2.017868280,0
0.116,-2066.324951172,-2.760294676,0
0.118,-2063.499267578,0.050915100,0
0.120,-2063.713134766,-0.126764104,0
0.122,-2064.320800781,-0.571313620,0
0.124,-2070.009033203,-4.868372440,0
0.126,-2074.526123047,-7.299715042,0
0.128,-2074.028320313,-5.290254116,0
0.130,-2072.772460938,-3.137863398,0
0.132,-2072.694091797,-2.379640341,0
0.134,-2073.458984375,-2.445662975,0
0.136,-2075.432373047,-3.436916590,0
0.138,-2069.863525391,1.658105493,0
0.140,-2069.317138672,1.714468122,0
0.142,-2075.259521484,-3.288197279,0
0.144,-2071.841552734,0.100912817,0
0.146,-2071.512451172,0.334346294,0
0.148,-2076.720214844,-3.790410042,0
0.150,-2072.370361328,0.435114801,0
0.152,-2067.274414063,4.302039146,0
0.154,-2072.153320313,-0.448748410,0
0.156,-2073.383056641,-1.305455804,0
0.158,-2069.029296875,2.370898008,0
0.160,-2072.199707031,-0.621969998,0
0.162,-2075.071533203,-2.717226267,0
0.164,-2072.586425781,-0.180669561,0
0.166,-2073.450195313,-0.812249422,0
0.168,-2071.306640625,1.035409451,0
0.170,-2075.390625000,-2.371007919,0
0.172,-2075.805419922,-2.166705847,0
0.174,-2069.625976563,3.120913744,0
0.176,-2070.369628906,1.848922253,0
0.178,-2071.434082031,0.610286653,0
0.180,-2070.760009766,0.998778284,0
0.182,-2076.082031250,-3.362482071,0
0.184,-2075.358398438,-2.052376032,0
0.186,-2069.114013672,3.260531664,0
0.188,-2069.772460938,2.023786306,0
0.190,-2070.426513672,1.065230608,0
0.192,-2066.833984375,3.622761965,0
0.194,-2067.032470703,2.663290977,0
0.196,-2067.222656250,1.923454642,0
0.198,-2064.706542969,3.452870131,0
0.200,-2060.806152344,5.719244003,0
0.202,-2057.802490234,6.784352303,0
0.204,-2051.101074219,10.488883972,0
0.206,-2048.088867188,10.500654221,0
