Time,X,Y,Z,Event
For Reference Only,For Reference Only,For Reference Only,For Reference Only,For Reference Only
0.110,-0.319999993,0.688000023,-0.324000001,0
0.120,-0.356000006,0.783999979,-0.335999995,0
0.130,-0.319999993,0.727999985,-0.319999993,0
0.140,-0.319999993,0.635999978,-0.356000006,0
0.150,-0.319999993,0.635999978,-0.356000006,0
0.160,-0.356000006,0.579999983,-0.416000009,0
0.170,-0.416000009,0.607999980,-0.435999990,0
0.180,-0.416000009,0.592000008,-0.412000000,0
0.190,-0.444000006,0.620000005,-0.416000009,0
0.200,-0.444000006,0.607999980,-0.384000003,0
0.210,-0.476000011,0.639999986,-0.388000011,0
0.220,-0.444000006,0.652000010,-0.368000001,0
0.230,-0.391999990,0.588000000,-0.316000015,0
0.240,-0.400000006,0.555999994,-0.287999988,0
0.250,-0.423999995,0.588000000,-0.287999988,0
0.260,-0.463999987,0.607999980,-0.347999990,0
0.270,-0.463999987,0.607999980,-0.328000009,0
0.280,-0.444000006,0.560000002,-0.307999998,0
0.290,-0.444000006,0.560000002,-0.307999998,0
0.300,-0.416000009,0.523999989,-0.307999998,0
0.310,-0.456000000,0.544000030,-0.291999996,0
0.320,-0.527999997,0.588000000,-0.284000009,0
0.330,-0.611999989,0.588000000,-0.231999993,0
0.340,-0.592000008,0.560000002,-0.231999993,0
0.350,-0.515999973,0.495999992,-0.272000015,0
0.360,-0.451999992,0.412000000,-0.263999999,0
0.370,-0.400000006,0.351999998,-0.244000003,0
0.380,-0.467999995,0.344000012,-0.244000003,0
0.390,-0.527999997,0.412000000,-0.244000003,0
0.400,-0.544000030,0.419999987,-0.435999990,0
0.410,-0.532000005,0.331999987,-0.379999995,0
0.420,-0.575999975,0.280000001,-0.324000001,0
0.430,-0.592000008,0.259999990,-0.296000004,0
0.440,-0.592000008,0.259999990,-0.296000004,0
0.450,-0.592000008,0.291999996,-0.324000001,0
0.460,-0.607999980,0.324000001,-0.256000012,0
0.470,-0.575999975,0.319999993,-0.228000000,0
0.480,-0.560000002,0.331999987,-0.224000007,0
0.490,-0.575999975,0.324000001,-0.192000002,0
0.500,-0.607999980,0.291999996,-0.180000007,0
0.510,-0.660000026,0.296000004,-0.143999994,0
0.520,-0.663999975,0.303999990,-0.128000006,0
0.530,-0.624000013,0.347999990,-0.104000002,0
0.540,-0.976000011,0.319999993,-0.024000000,0
0.550,-0.935999990,0.280000001,-0.032000002,0
0.560,-0.772000015,0.331999987,0.032000002,0
0.570,-0.564000010,0.356000006,0.044000000,0
0.580,-0.564000010,0.356000006,0.044000000,0
0.590,-0.483999997,0.412000000,0.016000001,0
0.600,-0.472000003,0.444000006,0.028000001,0
0.610,-0.391999990,0.472000003,-0.004000000,0
0.620,-0.412000000,0.527999997,-0.004000000,0
0.630,-0.307999998,0.536000013,-0.096000001,0
0.640,-0.628000021,0.736000001,-0.028000001,0
