Time,Vin,RawSignal,Event
Verified data,Verified data,For Reference Only,For Reference Only
0.002,224.630126953,174.710052490,0
0.004,-1285.920043945,-1038.973266602,0
0.006,4479.880859375,3676.373779297,0
0.008,-10228.049804688,-8579.988281250,0
0.010,17396.841796875,14812.509765625,0
0.012,-19571.884765625,-17232.388671875,0
0.014,8044.262695313,8076.151855469,0
0.016,-6658.561523438,-5154.011230469,0
0.018,-895.815979004,473.453582764,0
0.020,-2407.204345703,-807.272033691,0
0.022,-2184.376220703,-454.561645508,0
0.024,-2185.970703125,-354.783477783,0
0.026,-2185.525634766,-275.593078613,0
0.028,-2186.253662109,-214.913482666,0
0.030,-2188.930664063,-169.234970093,0
0.032,-2191.070800781,-133.289871216,0
0.034,-2191.168212891,-103.744430542,0
0.036,-2193.983886719,-82.879051208,0
0.038,-2197.413330078,-67.127937317,0
0.040,-2198.471679688,-53.033042908,0
0.042,-2200.435546875,-42.774726868,0
0.044,-2203.248046875,-35.456451416,0
0.046,-2207.166748047,-30.624629974,0
0.048,-2207.350097656,-23.961496353,0
0.050,-2209.545410156,-20.343835831,0
0.052,-2215.200927734,-20.221523285,0
0.054,-2218.283203125,-18.124845505,0
0.056,-2217.871826172,-13.776947021,0
0.058,-2221.867431641,-13.822972298,0
0.060,-2225.707763672,-13.738063812,0
0.062,-2233.103271484,-16.436859131,0
0.064,-2238.881347656,-17.278135300,0
0.066,-2242.535888672,-16.280790329,0
0.068,-2246.480224609,-15.730312347,0
0.070,-2248.091552734,-13.487861633,0
0.072,-2254.417480469,-15.410441399,0
0.074,-2257.643798828,-14.495109558,0
0.076,-2261.376953125,-14.177372932,0
0.078,-2268.203857422,-16.336406708,0
0.080,-2272.149169922,-15.774438858,0
0.082,-2276.215576172,-15.431748390,0
0.084,-2282.888427734,-17.192121506,0
0.086,-2285.108886719,-15.098576546,0
0.088,-2290.714111328,-16.102724075,0
0.090,-2296.680908203,-17.164997101,0
0.092,-2298.682128906,-14.906872749,0
0.094,-2303.504394531,-15.344560623,0
0.096,-2308.431152344,-15.766324043,0
0.098,-2310.584716797,-13.937686920,0
0.100,-2312.498291016,-12.328487396,0
0.102,-2313.184326172,-10.122360229,0
0.104,-2315.239013672,-9.470790863,0
0.106,-2317.591308594,-9.195673943,0
0.108,-2313.789306641,-4.194962978,0
0.110,-2311.814697266,-1.726911902,0
0.112,-2313.099853516,-2.342688322,0
0.114,-2310.854248047,-0.075647265,0
0.116,-2308.475830078,1.791075826,0
0.118,-2305.440429688,3.753905296,0
0.120,-2300.875976563,6.469657898,0
0.122,-2297.682373047,7.515923023,0
0.124,-2295.482421875,7.556642532,0
0.126,-2290.060546875,10.094303131,0
0.128,-2284.252441406,12.368244171,0
0.130,-2278.096191406,14.407876968,0
0.132,-2271.215820313,16.557317734,0
0.134,-2265.327392578,17.457496643,0
0.136,-2258.512451172,18.878410339,0
0.138,-2245.616699219,24.712907791,0
0.140,-2236.656005859,26.190105438,0
0.142,-2227.600830078,27.412643433,0
0.144,-2215.515136719,30.720535278,0
0.146,-2205.917724609,31.358116150,0
0.148,-2194.310058594,33.417350769,0
0.150,-2178.654296875,38.167407990,0
0.152,-2166.818847656,38.890678406,0
0.154,-2150.453857422,42.976062775,0
0.156,-2136.719726563,44.107273102,0
0.158,-2125.000976563,43.419857025,0
0.160,-2111.124023438,44.563461304,0
0.162,-2099.563476563,43.651584625,0
0.164,-2095.041015625,37.468082428,0
0.166,-2087.803222656,34.770748138,0
0.168,-2083.732666016,30.209594727,0
0.170,-2078.498535156,27.567005157,0
0.172,-2073.551513672,25.288255692,0
0.174,-2070.961425781,21.683046341,0
0.176,-2069.864501953,17.717424393,0
0.178,-2067.687988281,15.472779274,0
0.180,-2066.094238281,13.273927689,0
0.182,-2070.210693359,7.122306824,0
0.184,-2071.208007813,4.763774872,0
0.186,-2069.864990234,4.749748230,0
0.188,-2069.955078125,3.624119997,0
0.190,-2070.019775391,2.768456459,0
0.192,-2071.070068359,1.336345792,0
0.194,-2071.164550781,0.965802431,0
0.196,-2071.586669922,0.422958583,0
0.198,-2072.643310547,-0.492943317,0
0.200,-2072.442138672,-0.226987660,0
0.202,-2075.058837891,-2.211725473,0
0.204,-2073.161621094,-0.244502768,0
0.206,-2072.062255859,0.664838254,0
0.208,-2073.630371094,-0.702586532,0
0.210,-2073.099853516,-0.133777097,0
0.212,-2074.888671875,-1.495252490,0
0.214,-2077.183837891,-2.948081970,0
0.216,-2077.080566406,-2.212695122,0
0.218,-2076.646972656,-1.383727908,0
0.220,-2077.397216797,-1.659688354,0
0.222,-2078.103271484,-1.840045929,0
0.224,-2077.546386719,-0.997879624,0
0.226,-2076.713378906,-0.128417373,0
0.228,-2080.667236328,-3.174976826,0
0.230,-2080.006103516,-1.955158114,0
0.232,-2078.815917969,-0.594972610,0
0.234,-2080.578613281,-1.833702445,0
0.236,-2078.188964844,0.432362676,0
0.238,-2076.463867188,1.678035855,0
0.240,-2079.135986328,-0.773240209,0
0.242,-2079.471923828,-0.862719059,0
0.244,-2075.423095703,2.478040457,0
0.246,-2078.203369141,-0.234964296,0
0.248,-2081.368408203,-2.644475698,0
0.250,-2078.629882813,0.073290907,0
0.252,-2079.262451172,-0.435014963,0
0.254,-2078.072509766,0.587037206,0
0.256,-2080.712402344,-1.596678615,0
0.258,-2080.168945313,-0.819059491,0
0.260,-2079.123779297,0.175836176,0
0.262,-2080.401611328,-0.857024074,0
0.264,-2082.058593750,-1.955418706,0
0.266,-2079.622314453,0.374094725,0
0.268,-2080.819580078,-0.640241027,0
0.270,-2082.796386719,-2.035470486,0
0.272,-2080.310302734,0.350471944,0
0.274,-2081.333740234,-0.523404360,0
0.276,-2081.691894531,-0.685615063,0
0.278,-2083.217285156,-1.719690442,0
0.280,-2081.529541016,-0.024839530,0
0.282,-2081.632080078,-0.099082530,0
0.284,-2082.874267578,-1.043198943,0
0.286,-2082.124023438,-0.227794170,0
0.288,-2084.170654297,-1.769049168,0
0.290,-2082.409179688,-0.005808722,0
0.292,-2081.851074219,0.429416627,0
0.294,-2080.927246094,1.052579999,0
0.296,-2082.492187500,-0.398464113,0
0.298,-2082.693603516,-0.466559798,0
0.300,-2082.841552734,-0.478024840,0
0.302,-2083.572509766,-0.940335274,0
0.304,-2082.608398438,0.018452967,0
0.306,-2081.859619141,0.596750498,0
0.308,-2082.159423828,0.230938092,0
0.310,-2077.917236328,3.479047298,0
0.312,-2080.514892578,0.685547411,0
0.314,-2080.970947266,0.178551599,0
0.316,-2079.448242188,1.323143005,0
0.318,-2080.475097656,0.230574191,0
0.320,-2077.766601563,2.285860300,0
0.322,-2077.371826172,2.084905863,0
0.324,-2081.425537109,-1.531248689,0
0.326,-2078.312744141,1.229948640,0
0.328,-2076.616699219,2.275868416,0
0.330,-2078.948974609,-0.043874871,0
0.332,-2079.179687500,-0.213539407,0
0.334,-2078.036865234,0.722608924,0
0.336,-2079.431396484,-0.522611558,0
0.338,-2076.996582031,1.487362266,0
0.340,-2075.615722656,2.230802536,0
0.342,-2074.067626953,2.939123869,0
0.344,-2074.319824219,2.089800119,0
0.346,-2074.720947266,1.313366055,0
0.348,-2075.004150391,0.801161468,0
0.350,-2074.452636719,1.052120924,0
0.352,-2072.445312500,2.379581213,0
0.354,-2069.503906250,4.138424873,0
0.356,-2069.902343750,2.908816338,0
0.358,-2070.711669922,1.633060098,0
0.360,-2068.736816406,2.806008577,0
0.362,-2067.401367188,3.221130610,0
0.364,-2066.159912109,3.470875978,0
0.366,-2063.880615234,4.472257614,0
0.368,-2064.617919922,2.905000687,0
0.370,-2066.583251953,0.730689406,0
0.372,-2066.961669922,0.274030298,0
0.374,-2067.087158203,0.115538150,0
0.376,-2066.237792969,0.750505805,0
0.378,-2065.584716797,1.091687918,0
0.380,-2063.416748047,2.535209894,0
0.382,-2062.240722656,2.886544704,0
0.384,-2064.119140625,0.784018576,0
0.386,-2063.005371094,1.476132393,0
0.388,-2062.729736328,1.362467647,0
0.390,-2062.837402344,0.975954711,0
0.392,-2062.331298828,1.152575254,0
0.394,-2061.776367188,1.328058004,0
0.396,-2062.565673828,0.419072270,0
0.398,-2063.650146484,-0.517507434,0
0.400,-2065.577148438,-1.901334643,0
0.402,-2064.307373047,-0.491210729,0
0.404,-2063.143066406,0.523596883,0
0.406,-2065.166503906,-1.166561484,0
0.408,-2065.070800781,-0.832808077,0
0.410,-2064.312255859,-0.057837680,0
0.412,-2066.620605469,-1.840314746,0
0.414,-2065.356201172,-0.447949409,0
0.416,-2064.685546875,0.173187837,0
0.418,-2065.146728516,-0.224041432,0
0.420,-2068.720703125,-2.953873158,0
0.422,-2068.148193359,-1.852179885,0
0.424,-2065.425537109,0.677085936,0
0.426,-2064.910644531,0.927102625,0
0.428,-2066.860107422,-0.795169532,0
0.430,-2068.744140625,-2.083945274,0
0.432,-2071.556396484,-3.807975769,0
0.434,-2072.974853516,-4.065058708,0
0.436,-2069.127441406,-0.169307321,0
0.438,-2068.912841797,0.035395682,0
0.440,-2070.323974609,-1.070129514,0
0.442,-2069.273925781,-0.015585385,0
0.444,-2070.194335938,-0.727917254,0
0.446,-2070.560791016,-0.851162076,0
0.448,-2071.876220703,-1.685179591,0
0.450,-2071.970703125,-1.384092212,0
0.452,-2071.702880859,-0.868328154,0
0.454,-2072.578613281,-1.356480360,0
0.456,-2074.558837891,-2.595116854,0
0.458,-2072.319091797,-0.276361734,0
0.460,-2074.078369141,-1.583216071,0
0.462,-2075.858398438,-2.615960121,0
0.464,-2073.900146484,-0.511513889,0
0.466,-2077.991210938,-3.579625845,0
0.468,-2078.387207031,-3.092160940,0
0.470,-2075.348388672,-0.041531503,0
0.472,-2078.214355469,-2.261254072,0
0.474,-2077.099365234,-0.891545475,0
0.476,-2075.110107422,0.853714943,0
0.478,-2076.240722656,-0.215458110,0
0.480,-2079.001220703,-2.314520597,0
0.482,-2081.540527344,-3.775203705,0
0.484,-2082.797119141,-3.913519859,0
0.486,-2078.740478516,0.111279048,0
0.488,-2079.048828125,-0.153293431,0
0.490,-2080.847167969,-1.517933249,0
0.492,-2080.830078125,-1.167188287,0
0.494,-2081.020751953,-1.056126118,0
0.496,-2082.098388672,-1.659522295,0
0.498,-2083.673828125,-2.516034126,0
0.500,-2082.964599609,-1.405289054,0
0.502,-2083.292968750,-1.348500490,0
0.504,-2083.155029297,-0.941456795,0
0.506,-2082.459228516,-0.191088498,0
0.508,-2081.789550781,0.372309625,0
0.510,-2085.202880859,-2.365310907,0
0.512,-2084.418701172,-1.229724407,0
0.514,-2083.770263672,-0.452066809,0
0.516,-2084.882568359,-1.216683388,0
0.518,-2085.944091797,-1.772074342,0
0.520,-2084.831542969,-0.512900710,0
0.522,-2085.541503906,-0.951133668,0
0.524,-2084.737060547,-0.114036851,0
0.526,-2082.212402344,1.874983907,0
0.528,-2084.253173828,-0.128940567,0
0.530,-2084.748046875,-0.485289335,0
0.532,-2082.174316406,1.624360204,0
0.534,-2084.450927734,-0.507235765,0
0.536,-2085.075439453,-0.880359828,0
0.538,-2085.201171875,-0.782501280,0
0.540,-2086.344238281,-1.497548342,0
0.542,-2084.031494141,0.634043276,0
0.544,-2084.325439453,0.264422953,0
0.546,-2084.001708984,0.457513630,0
0.548,-2083.841064453,0.480750948,0
0.550,-2083.404541016,0.713322043,0
0.552,-2082.157226563,1.524994493,0
0.554,-2083.558837891,0.096070953,0
0.556,-2083.060058594,0.462503970,0
